output_all
know	why	No	`` I would like to know why , '' she said , clad in a blue jail suit .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 16110
find	why	No	If not , find out why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 21094
know	why	Neg	`` But along the way somewhere we got sidetracked , and I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 21477
ask	why	No	He never went to the coaches to ask why , and they never came to him .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 21516
know	when yet	Neg	`` I just do n't know when yet . ''	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 32574
know	why	Neg	I just do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 34270
understand	why	No	He wanted to be fresh , and you can understand why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 34278
know	why	Neg	I just do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 40392
understand	why	No	He wanted to be fresh , and you can understand why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 40400
say	how	Neg	But he did n't say how .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 44549
see	where	No	`` We 're looking at new markets but it 's pretty hard to see where , '' said Pablo Aguilera , chief executive of Salmopack , a company that sells half of the fish it processes in the U.S.	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 50355
guess	what	No	He was supposed to get this and that for the crumbling Coliseum from the Los Angeles city and county pols , and guess what .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 52796
know	why	Neg	`` I think they were looking for a way not to give it to her and I do n't know why , '' Button said .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 56429
see	how	No	`` It 's hard to see how , '' said Cliff Waldman , an economist for the National Federation of Business in Washington .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 76068
see	how	No	`` It 's hard to see how , '' said Cliff Waldman , an economist for the National Federation of Business in Washington .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 78940
see	how	No	`` It 's hard to see how , '' said Cliff Waldman , an economist for the National Federation of Business in Washington .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 79124
see	why	No	It is not that hard to see why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 87075
know	whom	Neg	He said he believes someone -- he does n't know whom -- is trying to manipulate the silver market .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 95783
know	whom	Neg	Armstrong , chief market analyst for the Princeton Economics Institute , a research firm , said he believes someone -- he does n't know whom -- is trying to manipulate the silver market .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 96724
know	whom	Neg	Armstrong , chief market analyst for the Princeton Economics Institute , a research firm , said he believes someone -- he does n't know whom -- is trying to manipulate the silver market .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 97824
know	why	No	Diaz de la Portilla , however , believes the program will deter drug use because students will know that if they refuse to be tested , their parents will likely want to know why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 122087
predict	when	Neg	In the newspaper interview , Meyer had said inflation will eventually accelerate , though he did n't predict when .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 125793
predict	when	Neg	In the newspaper interview , Meyer had said inflation will eventually accelerate , though he did n't predict when .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 126572
ask	why	No	When we stretched it defensively , guys started to ask why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 130815
ask	why	No	You have to ask why , '' Klein said .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 131391
say	by how much	Neg	Anderson also said the company expects to reduce its inventory of $ 400 million , though he did n't say by how much .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 131847
say	by how much	Neg	Anderson also said the company expects to reduce its inventory of $ 404 million , which was down from $ 437 million in the fourth quarter though he did n't say by how much .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 132517
show	why	No	`` Then I said , ` Now I 'm going to show you why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 134791
show	why	No	She pulls out invoices to show why : A 20-inch Samsung TV that cost 650,000 rupiah in May will set a customer back 1.9 million rupiah today .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 135523
say	why	No	The Air Force 's public report on the crash said that the likely cause was `` fuel starvation , '' or failure to deliver fuel , to the four turboprop engines , but that it was not possible to say why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 150151
specify	how	Neg	The Central Bank and Finance Ministry said they would work together to rein in spending , although they did n't specify how .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 158230
postseason	what	No	Is `` postseason '' just another one of those words , like `` preschool '' and `` postproduction , '' that leave us asking , `` postseason what ?	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 166751
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 170953
see	why not	Neg	And Brett said to her , ` I do n't see why not , ' and gave her a hug .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 170966
see	why	No	-LRB- It 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 171297
know	what	Neg	`` I do n't know what , but we 've just got to do something , '' Anderson said .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 172781
know	when	Neg	The problem is , we just do n't know when .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 173137
know	when	Neg	We 're saying , ` Yeah , you 're going to get better but we do n't know when . '	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 173142
know	why	Neg	`` Most teams do it , and I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 175579
figure	why	Neg	And Holmgren ca n't figure out why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 176728
<none>	<none>	No	Nowadays , there are some viruses that are disguised as attachments to e-mail and as macros -LRB- tiny programs that work within a word processor -RRB- that are part of documents .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 177898
know	by how much	Neg	That percentage is expected to fall , Shibato said , although Hitachi does n't know by how much .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 187272
know	how many	Neg	State Farm officials said none had , while Harris said Ford had paid some claims , but he did not know how many .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 198546
know	why	Neg	He does n't know why , Suckow said .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 199497
say	by how much	Neg	Anderson also said the company expects to reduce its inventory of $ 404 million , which was down from $ 437 million in the fourth quarter though he did n't say by how much .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 206018
<none>	<none>	No	Nowadays , there are some viruses that are disguised as attachments to e-mail and as macros -LRB- tiny programs that work within a word processor -RRB- that are part of documents .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 206484
determine	how much	No	`` The results are slightly better than the market expected , but it 's hard to determine how much without more details , '' said Fabio Anderaos , an analyst at Banco Sul America .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 207112
specify	how much	No	The Scandinavian Airlines System , for one , continues to derive plenty of revenues -LRB- it declines to specify how much -RRB- from training flight crews from other airlines , from helping other Swedish companies prepare employees for relocation and from maintaining other airlines ' planes .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 214081
know	to what degree	Neg	`` I read what you read and that 's that he 's very involved , but I do n't know to what degree . ''	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 214821
specify	by how much	Neg	Sears said its credit-card delinquency rate increased and did n't specify by how much .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 224820
specify	by how much	Neg	Sears said its credit-card delinquency rate increased and did n't specify by how much .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 227695
remember	why	Neg	In nontechnical terms , you get uglier , sicker and weaker but you ca n't remember why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 230423
know	why	Neg	`` I do n't know why ; that just happens , '' said the 6-foot-3-inch , 286-pound Nalen .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 232397
recall	which one	Neg	He said a company official , he did n't recall which one , said the company had asked the IRS for an extension to file last year 's taxes and that they had not yet been filed .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 244901
Know	Who	No	Karl is a Carolina guy , as is You Know Who .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 245671
see	why	No	And it 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 246238
say	exactly when	No	The committee meeting begins sometime tomorrow , though OPEC officials today were unable to say exactly when .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 246685
tell	how	No	And it 's especially easy to send phony e-mail in anyone 's name -LRB- nope , I 'm not going to tell you how -RRB- .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 250695
find	why	No	But Sen. John McCain , R-Ariz. , says it has n't worked out that way , and he is going to hold hearings of his Commerce Committee this month to try to find out why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 254522
say	exactly where	Neg	AT&T said the cuts will be worldwide , but would not say exactly where .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 261496
say	exactly where	Neg	AT&T said the cuts will be worldwide , but would not say exactly where .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 268375
know	why	Neg	`` Advances/Neogen does n't know why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 273278
explain	why	Neg	He did not explain why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 277339
say	by how much	Neg	Clinton did n't say by how much .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 278702
specify	which teams	Neg	Houck would not specify which teams .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 281549
know	what yet	Neg	I do n't know what yet .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 285396
know	what yet	Neg	I do n't know what yet .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 286041
tell	how	No	And it 's especially easy to send phony e-mail in anyone 's name -LRB- nope , I 'm not going to tell you how -RRB- .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 286267
know	how	No	`` Because in Boston , everyone seems to know how .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 287511
know	how	Neg	I think it would be hard , especially being my son , if he did n't know how .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 287512
know	how	No	I 'd like him to know how , if only to have fun playing in family hockey games . ''	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 287513
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 288711
say	by how much	Neg	Bounsall says currency losses actually hurt the company 's sales and earnings , but wo n't say by how much .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 291833
ask	why	No	Gundersen 's advice is to ask why : `` Tell me what it is about him that you ca n't stand . ''	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 293682
say	how much	Neg	The Clinton administration contends that the additional capacity will push down fares , but Tarullo and others would not say how much .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 302258
imagine	how much snow	Neg	`` We could n't imagine how much snow , '' said Tatsuya Hirasawa of the self-defense force .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 305520
know	how many	Neg	Among other unfinished projects are a history of Korean music , a compilation of music and dance for Confucian ceremonies , and `` I do n't know how many '' incomplete compositions .	Treebanks/NYT-Parsed/nyt_eng_199801.tgrep2 305735
guess	what	No	`` But guess what ?	Treebanks/NYT-Parsed/nyt_eng_199802.tgrep2 1117
know	why	Neg	`` We met the real one , '' said Taylor , `` when we were shipping to Northern Virginia and we did n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199802.tgrep2 7094
know	why	Neg	`` We met the real one , '' said Taylor , `` when we were shipping to Northern Virginia and we did n't know why . ''	Treebanks/NYT-Parsed/nyt_eng_199802.tgrep2 11045
know	what	Neg	`` But I did n't know what .	Treebanks/NYT-Parsed/nyt_eng_199802.tgrep2 13004
Iyam	what	No	This is the Popeye defense `` Iyam what Iyam '' so beloved of the Yankees ' owner .	Treebanks/NYT-Parsed/nyt_eng_199802.tgrep2 15733
figure	why	No	It is not hard to figure out why .	Treebanks/NYT-Parsed/nyt_eng_199802.tgrep2 16194
matter	what	No	`` No matter what . ''	Treebanks/NYT-Parsed/nyt_eng_199802.tgrep2 18865
know	why	Neg	I do n't know why .	Treebanks/NYT-Parsed/nyt_eng_199802.tgrep2 21504
know	why	No	Want to know why ?	Treebanks/NYT-Parsed/nyt_eng_199802.tgrep2 24858
know	how much	Neg	Johnston said Step 9 drivers would probably see their rates rise , but he did n't know how much .	Treebanks/NYT-Parsed/nyt_eng_199802.tgrep2 26508
see	why	No	From the deck of the Vonni Dee , Nobels ' tight little salmon boat , it 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199802.tgrep2 26625
see	why	No	Looking at last year 's world rankings , it 's easy to see why .	Treebanks/NYT-Parsed/nyt_eng_199802.tgrep2 28953
know	how	No	But we continued to play basketball like we did know how . ''	Treebanks/NYT-Parsed/nyt_eng_199802.tgrep2 29987
